,ID,Lat,Long,Label,Airport,Conventions,Entertainment,Fitness,Food,Government,Health,Hotels,Nightlife,Outdoor,Residence,School,Shops,Transports,University,Work,Total,Cost
29,0031,44.424884999999996,8.821196,1,0.0,0.0,7.0,3.0,35.0,1.0,7.0,0.0,5.0,8.0,2.0,0.0,20.0,4.0,1.0,3.0,96.0,1325.0
30,0032,44.424919,8.816158,1,0.0,1.0,6.0,3.0,45.0,1.0,8.0,3.0,9.0,18.0,3.0,0.0,23.0,4.0,2.0,5.0,131.0,1325.0
31,0033,44.424640999999994,8.812321,1,0.0,1.0,6.0,2.0,39.0,1.0,6.0,3.0,8.0,16.0,3.0,0.0,20.0,3.0,1.0,4.0,113.0,1325.0
32,0034,44.423584000000005,8.807083,0,0.0,1.0,2.0,3.0,15.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,3.0,1.0,0.0,1.0,36.0,905.0
33,0035,44.424403999999996,8.801941000000001,0,0.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,1.0,7.0,1.0,0.0,6.0,0.0,0.0,1.0,28.0,905.0
34,0036,44.424843,8.799377999999999,0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,7.0,1.0,0.0,1.0,24.0,820.0
35,0037,44.425940999999995,8.793636,0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,4.0,0.0,1.0,21.0,820.0
36,0038,44.426579,8.789221000000001,0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,26.0,820.0
37,0039,44.427071000000005,8.785978,0,0.0,0.0,1.0,1.0,14.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,6.0,3.0,0.0,0.0,31.0,820.0
38,0040,44.427517,8.779722,0,0.0,0.0,2.0,4.0,9.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,9.0,4.0,1.0,0.0,34.0,820.0
39,0041,44.427505,8.773957000000001,0,0.0,0.0,1.0,2.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,5.0,2.0,2.0,36.0,820.0
40,0042,44.427868,8.771554,0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,2.0,2.0,31.0,820.0
41,0043,44.428131,8.766548,0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,5.0,0.0,2.0,24.0,820.0
42,0044,44.428413,8.762185,0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0,29.0,820.0
43,0045,44.428898,8.759127000000001,1,0.0,0.0,4.0,6.0,12.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0,6.0,0.0,1.0,50.0,835.0
44,0046,44.428482,8.755344000000001,1,0.0,0.0,5.0,5.0,20.0,3.0,3.0,1.0,3.0,8.0,0.0,1.0,19.0,7.0,1.0,2.0,78.0,1100.0
45,0047,44.428447999999996,8.750944,1,0.0,0.0,3.0,4.0,24.0,3.0,6.0,1.0,5.0,11.0,0.0,2.0,16.0,4.0,2.0,4.0,85.0,1100.0
46,0048,44.428612,8.747858,1,0.0,0.0,3.0,2.0,24.0,2.0,6.0,0.0,5.0,9.0,0.0,1.0,17.0,5.0,3.0,3.0,80.0,1100.0
47,0049,44.428143,8.74512,1,0.0,0.0,2.0,2.0,19.0,0.0,6.0,0.0,3.0,4.0,0.0,1.0,13.0,4.0,2.0,1.0,57.0,1100.0
48,0050,44.427376,8.743212,0,0.0,0.0,2.0,1.0,15.0,0.0,4.0,0.0,2.0,3.0,0.0,1.0,7.0,4.0,2.0,1.0,42.0,1100.0
49,0051,44.428169,8.745475,1,0.0,0.0,2.0,2.0,19.0,2.0,6.0,0.0,3.0,6.0,0.0,1.0,13.0,5.0,2.0,1.0,62.0,1100.0
